institution_combo_group,academic_institution,position_group_rc,position_type,position_category,position_group_tenure,position_tenure,position_group_tenure_cat,position_percent_rcd,promoted,experience_rcd,experience_work,supervise_staff,supervise_student_workers,management_staff_role,position_hourly,position_fulltime,position_funding,onsite_remote,position_scope,education,education_related
NA,NA,NA,NA,Senior individual contributor,8,3,5-9,100,TRUE,10,10,FALSE,TRUE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Multiple Institutions,Master's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,13,4,10+,100,TRUE,13,17,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,3,26,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,No Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,70,FALSE,5,5,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
Government,FALSE,FALSE,NA,Individual contributor,31,NA,10+,90,TRUE,31,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Multiple Institutions,Bachelor's Degree,Very related
R1 public,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,10,4,10+,50,TRUE,10,21,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,1,1,<2,100,TRUE,9,9,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
NA,NA,NA,Staff,Manager,21,10,10+,100,TRUE,21,21,FALSE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
R1 private,TRUE,TRUE,Staff,Director,8,3,5-9,100,TRUE,8,14,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
Other,FALSE,NA,Staff,Individual contributor,8,8,5-9,100,FALSE,21,21,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,National,Master's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,16,10,10+,100,TRUE,16,16,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 private,TRUE,TRUE,Staff,Individual contributor,1,1,<2,100,FALSE,5,7,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),NA,College or School,Master's Degree,Slightly related
NA,NA,NA,NA,Other/Unknown,20,20,10+,NA,TRUE,20,20,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,NA,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Director,1,NA,<2,70,FALSE,8,10,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,4,4,2-4,80,FALSE,18,37,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
Other Academic private,TRUE,FALSE,Staff,Lead/principal individual contributor,21,3,10+,90,TRUE,8,21,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Director,7,3,5-9,90,TRUE,7,7,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Manager,5,5,5-9,100,FALSE,20,20,TRUE,TRUE,TRUE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,National,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,2,8,2-4,80,FALSE,15,43,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,TRUE,Staff,Director,10,2,10+,100,TRUE,10,42,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Faculty,Faculty,7,1,5-9,30,TRUE,7,8,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Other/Unknown,4,4,2-4,65,TRUE,15,25,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Student position / internship,Student position / internship,1,1,<2,30,FALSE,1,5,FALSE,FALSE,FALSE,TRUE,FALSE,I don't know,On-site at my employer,Multiple Institutions,No Bachelor's Degree,Very related
R1 private,TRUE,NA,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,0,0,<2,80,TRUE,3,6,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Very related
R2 public,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,2,15,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,0,0,<2,100,FALSE,6,15,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Very related
Other Academic public,TRUE,FALSE,Staff,Manager,2,6,2-4,70,TRUE,23,23,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,9,9,5-9,90,FALSE,9,26,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,5,FALSE,TRUE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Very related
R2 public,TRUE,FALSE,Staff,Director,17,1,10+,90,TRUE,2,17,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,5,5,5-9,100,FALSE,5,42,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Other/Unknown,5,15,5-9,5,TRUE,4,45,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
Medical,FALSE,FALSE,NA,Director,18,4,10+,25,TRUE,14,18,TRUE,FALSE,TRUE,FALSE,TRUE,NA,On-site at my employer,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,8,2,5-9,100,TRUE,10,40,TRUE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),A combination of remotely and on-site,National,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Director,16,16,10+,100,TRUE,20,28,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,National,PhD or Doctorate,Slightly related
R2 public,TRUE,FALSE,Staff,Director,4,4,2-4,100,FALSE,25,30,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,National,PhD or Doctorate,Moderately related
NA,NA,NA,Staff,Senior individual contributor,1,1,<2,30,FALSE,8,8,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Slightly related
Unknown,NA,FALSE,NA,Lead/principal individual contributor,1,1,<2,100,NA,5,15,TRUE,FALSE,FALSE,NA,NA,NA,A combination of remotely and on-site,National,Bachelor's Degree,Moderately related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,15,3,10+,50,TRUE,15,18,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 private,TRUE,TRUE,Staff,Manager,6,3,5-9,100,TRUE,6,21,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,NA,Staff,Other/Unknown,1,10,<2,25,FALSE,25,50,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 public,TRUE,NA,Staff,Individual contributor,10,10,10+,70,FALSE,20,30,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,PhD or Doctorate,Moderately related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,7,5,5-9,100,TRUE,5,14,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R2 public,TRUE,FALSE,Staff,"AVP, VP, CIO, or other senior leader",1,1,<2,100,TRUE,10,22,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,5,5,5-9,90,FALSE,5,8,TRUE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Very related
R2 private,TRUE,TRUE,Staff,Individual contributor,2,8,2-4,100,FALSE,2,26,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Very related
Medical,FALSE,FALSE,"Other Academic (incl. Research Faculty, Postdocs)",Faculty,7,7,5-9,100,FALSE,7,7,TRUE,FALSE,FALSE,FALSE,TRUE,I don't know,On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,15,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,8,8,5-9,100,TRUE,8,17,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,1,2-4,100,TRUE,6,7,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,17,17,10+,100,FALSE,17,27,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Individual contributor,18,4,10+,100,TRUE,18,18,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Center or Institute,Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,3,1,2-4,80,TRUE,25,45,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,National,PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Individual contributor,0,0,<2,100,FALSE,0,3,FALSE,FALSE,FALSE,FALSE,TRUE,I don't know,A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Very related
Company,FALSE,FALSE,NA,Individual contributor,2,2,<2,80,FALSE,3,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,National,Master's Degree,Extremely related
Other,FALSE,FALSE,NA,Manager,9,9,5-9,30,FALSE,38,38,TRUE,TRUE,TRUE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
Medical,FALSE,FALSE,Staff,Manager,17,5,10+,100,TRUE,32,38,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R2 public,TRUE,TRUE,Staff,Director,1,1,<2,100,FALSE,1,20,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,PhD or Doctorate,Slightly related
NA,NA,NA,NA,Senior individual contributor,1,7,<2,90,FALSE,10,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
Medical,FALSE,FALSE,Staff,Lead/principal individual contributor,2,2,2-4,85,FALSE,2,28,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,College or School,Master's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,13,13,10+,50,FALSE,20,26,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,6,8,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R2 private,TRUE,FALSE,Staff,Manager,7,7,5-9,100,FALSE,11,15,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,TRUE,Staff,Manager,7,5,5-9,100,TRUE,14,14,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,NA,Staff,Director,0,0,<2,50,FALSE,0,21,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,PhD or Doctorate,Moderately related
Government,FALSE,NA,NA,Individual contributor,1,1,<2,80,FALSE,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,NA,A combination of remotely and on-site,Center or Institute,Bachelor's Degree,Extremely related
R2 private,TRUE,TRUE,Staff,Senior individual contributor,2,2,2-4,100,FALSE,2,25,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
R1 private,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,100,FALSE,6,25,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,100,FALSE,3,6,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,TRUE,Staff,Individual contributor,1,1,<2,95,FALSE,1,10,FALSE,FALSE,FALSE,TRUE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",No Bachelor's Degree,Extremely related
R2 public,TRUE,TRUE,Student position / internship,Student position / internship,3,NA,2-4,100,FALSE,3,6,FALSE,FALSE,FALSE,FALSE,FALSE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,NA,Staff,Senior individual contributor,12,4,10+,100,TRUE,12,12,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,Multiple Institutions,No Bachelor's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Manager,3,5,2-4,80,FALSE,40,44,TRUE,FALSE,TRUE,FALSE,FALSE,Mixture,On-site at my employer,Multiple Institutions,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,3,3,2-4,75,FALSE,5,20,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,NA,Staff,Individual contributor,4,4,2-4,80,FALSE,4,5,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Master's Degree,Extremely related
R1 private,TRUE,TRUE,Staff,Manager,6,6,5-9,100,TRUE,6,33,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
Medical,FALSE,FALSE,Staff,Lead/principal individual contributor,6,6,5-9,90,TRUE,6,21,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
R1 public,TRUE,TRUE,Staff,Manager,5,2,5-9,100,TRUE,5,5,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Very related
R1 private,TRUE,FALSE,Staff,Individual contributor,6,6,5-9,80,FALSE,5,7,FALSE,FALSE,FALSE,FALSE,FALSE,I don't know,On-site at my employer,College or School,PhD or Doctorate,Slightly related
Government,FALSE,FALSE,NA,Individual contributor,6,1,5-9,NA,TRUE,5,7,FALSE,TRUE,FALSE,FALSE,TRUE,NA,On-site at my employer,Center or Institute,Bachelor's Degree,Moderately related
NA,NA,NA,"Other Academic (incl. Research Faculty, Postdocs)",Other/Unknown,2,2,2-4,50,FALSE,2,8,FALSE,TRUE,FALSE,FALSE,TRUE,Mixture,A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,TRUE,Staff,Individual contributor,4,1,2-4,100,TRUE,4,5,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",No Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Director,2,2,2-4,100,FALSE,2,12,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Slightly related
R1 public,TRUE,FALSE,Staff,Manager,1,1,<2,90,FALSE,13,37,FALSE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Master's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Manager,5,2,5-9,50,TRUE,27,27,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,National,PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Individual contributor,1,1,<2,80,FALSE,1,12,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,"University, Company, or Institution",Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,8,2,5-9,100,TRUE,8,10,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Very related
R2 public,TRUE,TRUE,Staff,Individual contributor,0,0,<2,100,FALSE,0,6,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Slightly related
Other,FALSE,FALSE,NA,Senior individual contributor,3,11,2-4,90,TRUE,12,25,FALSE,FALSE,FALSE,FALSE,FALSE,NA,On-site at my employer,Research Group,Master's Degree,Very related
R1 public,TRUE,FALSE,Student position / internship,Student position / internship,1,1,<2,100,FALSE,11,8,FALSE,FALSE,FALSE,TRUE,FALSE,I don't know,A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Moderately related
R1 public,TRUE,FALSE,Faculty,Faculty,12,1,10+,100,TRUE,36,41,TRUE,FALSE,FALSE,TRUE,FALSE,Soft funding (grants or sponsored funding),Remotely,Multiple Institutions,PhD or Doctorate,Extremely related
R2 public,TRUE,FALSE,Staff,Senior individual contributor,2,1,2-4,80,TRUE,7,13,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,10,2,10+,70,TRUE,11,16,FALSE,TRUE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,Center or Institute,Bachelor's Degree,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,3,2-4,100,FALSE,9,9,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
NA,NA,NA,Staff,Manager,10,4,10+,100,TRUE,10,25,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Slightly related
Other,FALSE,FALSE,NA,Senior individual contributor,11,2,10+,100,TRUE,10,12,FALSE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,National,PhD or Doctorate,Very related
R1 private,TRUE,TRUE,Staff,Lead/principal individual contributor,5,1,5-9,100,TRUE,7,17,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 private,TRUE,FALSE,Staff,Senior individual contributor,19,12,10+,100,FALSE,22,22,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Department,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,2,2,2-4,70,FALSE,2,2,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R2 private,TRUE,TRUE,Staff,Director,18,2,10+,100,TRUE,30,30,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Manager,16,1,10+,85,TRUE,16,26,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,College or School,Bachelor's Degree,Moderately related
Medical,FALSE,FALSE,Staff,Senior individual contributor,8,8,5-9,80,FALSE,12,28,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R1 public,TRUE,FALSE,Staff,Senior individual contributor,3,10,2-4,30,FALSE,3,35,TRUE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Master's Degree,Moderately related
Academic Computing Center,TRUE,FALSE,Student position / internship,Student position / internship,0,0,<2,100,FALSE,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,I don't know,Remotely,Research Group,No Bachelor's Degree,Extremely related
Academic Computing Center,TRUE,FALSE,Staff,Senior individual contributor,6,6,5-9,85,FALSE,23,25,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,Multiple Institutions,Master's Degree,Slightly related
NA,NA,FALSE,Faculty,Director,6,0,5-9,100,TRUE,6,NA,FALSE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,PhD or Doctorate,Moderately related
R1 public,TRUE,FALSE,Staff,Director,1,13,<2,50,FALSE,14,35,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,Multiple Institutions,Bachelor's Degree,Moderately related
R1 private,TRUE,TRUE,"Other Academic (incl. Research Faculty, Postdocs)",Director,6,5,5-9,100,TRUE,16,31,TRUE,FALSE,TRUE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Extremely related
R2 public,TRUE,FALSE,Staff,Lead/principal individual contributor,1,1,<2,100,FALSE,1,14,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Not at all related
Other,FALSE,NA,NA,Manager,5,3,5-9,60,TRUE,5,26,TRUE,FALSE,TRUE,FALSE,TRUE,NA,A combination of remotely and on-site,Department,Master's Degree,Very related
Unknown,NA,FALSE,NA,Manager,18,18,10+,100,TRUE,24,38,TRUE,FALSE,TRUE,FALSE,TRUE,NA,Remotely,Multiple Institutions,PhD or Doctorate,Very related
R1 public,TRUE,FALSE,Staff,Individual contributor,0,5,<2,100,TRUE,5,10,TRUE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),Remotely,"University, Company, or Institution",Master's Degree,Not at all related
Medical,FALSE,FALSE,Staff,Senior individual contributor,1,1,<2,80,TRUE,3,16,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,Remotely,Multiple Institutions,Master's Degree,Very related
R1 private,TRUE,TRUE,Staff,Manager,3,3,2-4,100,FALSE,12,20,TRUE,FALSE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Very related
R1 public,TRUE,FALSE,Staff,Lead/principal individual contributor,9,1,5-9,80,TRUE,9,22,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",Bachelor's Degree,Not at all related
R1 public,TRUE,TRUE,Staff,Lead/principal individual contributor,4,9,2-4,100,FALSE,17,17,FALSE,FALSE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",PhD or Doctorate,Not at all related
Government,FALSE,FALSE,NA,Lead/principal individual contributor,6,10,5-9,100,FALSE,26,28,TRUE,FALSE,FALSE,FALSE,TRUE,NA,On-site at my employer,Department,PhD or Doctorate,Moderately related
R1 public,TRUE,TRUE,Staff,Manager,1,1,<2,100,TRUE,7,30,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Extremely related
R1 public,TRUE,TRUE,Staff,Senior individual contributor,9,9,5-9,100,FALSE,19,30,FALSE,TRUE,FALSE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,"University, Company, or Institution",Master's Degree,Slightly related
R2 public,TRUE,TRUE,Staff,Individual contributor,2,2,2-4,70,FALSE,6,21,FALSE,FALSE,FALSE,FALSE,TRUE,Soft funding (grants or sponsored funding),On-site at my employer,"University, Company, or Institution",Bachelor's Degree,Moderately related
Other Academic private,TRUE,TRUE,Staff,Manager,4,4,2-4,30,TRUE,10,25,FALSE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),On-site at my employer,Multiple Institutions,Bachelor's Degree,Very related
R2 public,TRUE,FALSE,Staff,Director,10,2,10+,90,TRUE,20,20,TRUE,TRUE,TRUE,FALSE,TRUE,Hard funding (university core funds),A combination of remotely and on-site,"University, Company, or Institution",PhD or Doctorate,Moderately related
R1 public,TRUE,NA,Staff,Director,10,2,10+,100,TRUE,6,20,TRUE,TRUE,TRUE,FALSE,TRUE,Mixture,A combination of remotely and on-site,National,Master's Degree,Very related
R1 public,TRUE,TRUE,Staff,Individual contributor,1,1,<2,100,FALSE,1,5,FALSE,FALSE,FALSE,FALSE,TRUE,Mixture,On-site at my employer,"University, Company, or Institution",Master's Degree,Moderately related
